,X,Y,OBJECTID,ID,Letter,Address,City,State,Zip,Phone,Lat,Long_,Restaurant
2314,-93.432,44.8535,2315,2315,b,8340 Crystal View Drive,Eden Prairie,MN,55344,(952) 944-0210,44.8535,-93.432,Burger King
2316,-93.2792,44.7452,2317,2317,b,14251 Nicolet Avenue,Burnsville,MN,55337,(952) 435-6122,44.7452,-93.2792,Burger King
2387,-93.2141,45.1075,2388,2388,b,2651 County Road I,Moundsview,MN,55112,(763) 784-8507,45.1075,-93.2141,Burger King
2391,-93.4185,44.7174,2392,2392,b,5020 160th Street S. E.,Prior Lake,MN,55372,(952) 447-3312,44.7174,-93.4185,Burger King
2408,-93.2598,44.7843,2409,2409,b,1150 East Highway 13,Burnsville,MN,55337,(952) 890-7229,44.7843,-93.2598,Burger King
2418,-95.0424,45.1115,2419,2419,b,1201 South 1st Street,Willmar,MN,56201,(320) 235-1379,45.1115,-95.0424,Burger King
2420,-92.9979,45.2795,2421,2421,b,1131 Broadway,Forest Lake,MN,55025,(651) 464-4840,45.2795,-92.9979,Burger King
2422,-92.4986,44.0556,2423,2423,b,"4107 Highway 52 North, East Frontage Road",Rochester,MN,55901,(507) 281-2923,44.0556,-92.4986,Burger King
2445,-93.5724,44.9876,2446,2446,b,1948 West Wayzata Boulevard,Long Lake,MN,55356,(952) 475-3493,44.9876,-93.5724,Burger King
2503,-93.3887,44.9371,2504,2504,b,"3650 Aquila Avenue, South",St. Louis Park,MN,55426,(952) 936-0440,44.9371,-93.3887,Burger King
2524,-93.7962,45.2999,2525,2525,b,200 Lauring Lane,Monticello,MN,55362,(763) 295-2333,45.2999,-93.7962,Burger King
2592,-93.2871,44.6967,2593,2593,b,17395 Kenwood Trail,Lakeville,MN,55044,(952) 435-8155,44.6967,-93.2871,Burger King
2623,-93.3872,45.1092,2624,2624,b,8501 Xylon Avenue North,Brooklyn Park,MN,55445,(763) 424-4259,45.1092,-93.3872,Burger King
2645,-93.4554,45.1043,2646,2646,b,13840 Grove Drive,Maple Grove,MN,55369,(763) 420-7120,45.1043,-93.4554,Burger King
2674,-93.2905,44.2977,2675,2675,b,1501 Nw 7 Street,Faribault,MN,55021,(507) 332-7960,44.2977,-93.2905,Burger King
2745,-93.4067,45.0337,2746,2746,b,10000 County Road 9,Plymouth,MN,55442-2896,(763) 559-7885,45.0337,-93.4067,Burger King
2812,-93.1882,45.0204,2813,2813,b,2080 West County Road C,Roseville,MN,55113,(651) 631-1798,45.0204,-93.1882,Burger King
2905,-93.5608,45.3115,2906,2906,b,"850 Freeport Ave, Elk River Plaza",Elk River,MN,55330-2646,(763) 441-6050,45.3115,-93.5608,Burger King
2909,-96.7678,46.8511,2910,2910,b,2412 Eighth Street South,Moorhead,MN,56560,(218) 236-7815,46.8511,-96.7678,Burger King
2954,-93.3189,45.1818,2955,2955,b,2025 Northdale Boulevard,Coon Rapids,MN,55433,(763) 754-1058,45.1818,-93.3189,Burger King
3031,-92.0933,46.7817,3032,3032,b,436 Canal Park Drive,Duluth,MN,55802,(218) 722-7349,46.7817,-92.0933,Burger King
3055,-93.1598,44.8325,3056,3056,b,1275 Town Centre Drive,Eagan,MN,55123,(651) 456-0759,44.8325,-93.1598,Burger King
3093,-94.8384,47.4567,3094,3094,b,"100 Paul Bunyan Drive, Sw",Bemidji,MN,56601,(218) 751-1257,47.4567,-94.8384,Burger King
3193,-93.9719,44.1671,3194,3194,b,1404 Madison Avenue,Mankato,MN,56001,(507) 388-4700,44.1671,-93.9719,Burger King
3225,-93.1638,45.1422,3226,3226,b,9390 Lexington Avenue,Lexington,MN,55014,(763) 785-1838,45.1422,-93.1638,Burger King
3277,-92.4437,44.0107,3278,3278,b,"1021 Fifteenth Avenue, Se",Rochester,MN,55904,(507) 282-4239,44.0107,-92.4437,Burger King
3303,-95.7717,44.4505,3304,3304,b,1229 East College Drive,Marshall,MN,56258,(507) 532-3955,44.4505,-95.7717,Burger King
3305,-92.985,45.0179,3306,3306,b,2535 Division Street North,North St Paul,MN,55109,(651) 779-7188,45.0179,-92.985,Burger King
3382,-92.9708,44.9268,3383,3383,b,1501 Weir Drive,Woodbury,MN,55125,(651) 731-8720,44.9268,-92.9708,Burger King
3389,-93.107,44.9412,3390,3390,b,100 Grand Avenue East,St. Paul,MN,55075-1110,(651) 451-2701,44.9412,-93.107,Burger King
3424,-92.4619,44.0385,3425,3425,b,1550 North Broadway,Rochester,MN,55906,(507) 280-9357,44.0385,-92.4619,Burger King
3466,-93.218,44.9193,3467,3467,b,4605 Hiawatha Ave.,Minneapolis,MN,55406,(612) 729-9559,44.9193,-93.218,Burger King
3544,-93.0587,45.0058,3545,3545,b,2316 Maplewood Mall,Maplewood,MN,55109,(651) 779-8748,45.0058,-93.0587,Burger King
3720,-93.081,44.9324,3721,3721,b,455 South Robert St.,St. Paul,MN,55107,(651) 228-0016,44.9324,-93.081,Burger King
3729,-93.1473,45.0551,3730,3730,b,3751 N. Lexington Ave.,Arden Hills,MN,55126,(651) 490-0161,45.0551,-93.1473,Burger King
3735,-93.3044,45.1094,3736,3736,b,8510 Edinburgh Center Drive,Brooklyn Park,MN,55443,(763) 493-5255,45.1094,-93.3044,Burger King
3756,-93.3839,44.8073,3757,3757,b,10801 Bloomington Ferry Road,Bloomington,MN,55438,(952) 942-0695,44.8073,-93.3839,Burger King
3762,-92.1609,46.8064,3763,3763,b,"1600 Miller Trunk Hwy., Miller Hill Mall-Fdct",Duluth,MN,55811-5607,(218) 722-5121,46.8064,-92.1609,Burger King
3894,-93.2057,44.7882,3895,3895,b,1980 Rahncliff Court,Eagan,MN,55122,(651) 452-5332,44.7882,-93.2057,Burger King
3910,-92.0543,46.8139,3911,3911,b,2120 London Road,Duluth,MN,55812,(218) 724-1828,46.8139,-92.0543,Burger King
3914,-92.9633,44.963,3915,3915,b,7051 10th Street North,Oakdale,MN,55128,(651) 735-5515,44.963,-92.9633,Burger King
3925,-94.4485,43.6521,3926,3926,b,1022 East Blue Earth Avenue,Fairmont,MN,56031,(507) 238-9400,43.6521,-94.4485,Burger King
3957,-93.0505,45.0804,3958,3958,b,1215 Gun Club Road,White Bear Lake,MN,55110,(651) 429-6986,45.0804,-93.0505,Burger King
3975,-94.0173,44.1602,3976,3976,b,1318 South Riverfront Drive,Mankato,MN,56001,(507) 345-5516,44.1602,-94.0173,Burger King
4055,-93.1057,44.9926,4056,4056,b,1698 Rice Street,St. Paul,MN,55113,(651) 489-2636,44.9926,-93.1057,Burger King
4111,-92.846,44.7158,4112,4112,b,100 West 33rd Street,Hastings,MN,55033,(651) 438-3686,44.7158,-92.846,Burger King
4114,-93.2564,45.1263,4115,4115,b,590 Northtown Drive,Blaine,MN,55434,(763) 786-8581,45.1263,-93.2564,Burger King
4257,-93.359,45.2068,4258,4258,b,13005 Riverdale Drive,Coon Rapids,MN,55448,(763) 421-0029,45.2068,-93.359,Burger King
4343,-92.7478,44.0283,4344,4344,b,"14 East Old Veterans Memorial,, Highway East",Kasson,MN,55944-1202,(507) 634-4252,44.0283,-92.7478,Burger King
4378,-93.3222,44.88,4379,4379,b,3538 Southdale Center,Edina,MN,55435,(612) 922-4257,44.88,-93.3222,Burger King
4384,-93.2439,44.0843,4385,4385,b,735 Bridge Street,Owatonna,MN,55060,(507) 455-9700,44.0843,-93.2439,Burger King
4391,-93.0003,44.8734,4392,4392,b,1598 Hastings Road,Newport,MN,55055,(651) 458-9445,44.8734,-93.0003,Burger King
4399,-93.2414,44.8523,4400,4400,b,"330 North Garden, Mall Of Americas",Bloomington,MN,55425,(952) 851-0786,44.8523,-93.2414,Burger King
4444,-93.2669,45.1248,4445,4445,b,8501 Springbrook Drive,Coon Rapids,MN,55433,(763) 786-4127,45.1248,-93.2669,Burger King
4603,-96.747,46.876,4604,4604,b,100 21st Street North,Moorhead,MN,56560,(218) 236-6221,46.876,-96.747,Burger King
4617,-93.1065,45.0423,4618,4618,b,3333 Rice Street,Shoreview,MN,55126,(651) 483-0962,45.0423,-93.1065,Burger King
4677,-94.393,44.8943,4678,4678,b,1185 West Highway 7,Hutchinson,MN,55350,(320) 587-9225,44.8943,-94.393,Burger King
4688,-93.2766,45.0612,4689,4689,b,5105 Industrial Boulevard,Edina,MN,55439,(952) 896-9871,45.0612,-93.2766,Burger King
4725,-93.2318,45.2882,4726,4726,b,1536 175th Lane North East,Ham Lake,MN,55304,(763) 434-5242,45.2882,-93.2318,Burger King
4994,-92.9799,43.6788,4995,4995,b,1409 4th Street Nw,Austin,MN,55912,(507) 433-1505,43.6788,-92.9799,Burger King
4999,-93.5545,45.5783,5000,5000,b,108 Ninth Avenue Circle South,Princeton,MN,55371,(763) 389-5180,45.5783,-93.5545,Burger King
5038,-95.8364,46.815,5039,5039,b,471 East Highway 10,Detroit Lakes,MN,56501,(218) 847-8622,46.815,-95.8364,Burger King
5071,-93.5263,47.2358,5072,5072,b,126 N. E. 4th. Street,Grand Rapids,MN,55744,(218) 326-9205,47.2358,-93.5263,Burger King
5075,-93.6375,44.6708,5076,5076,b,255 Triangle Lane,Jordan,MN,55352,(952) 492-2237,44.6708,-93.6375,Burger King
5087,-92.9305,46.0112,5088,5088,b,403 Fire Monument Road,Hinckley,MN,55037,(320) 384-0040,46.0112,-92.9305,Burger King
5114,-93.3608,45.0507,5115,5115,b,5358 West Broadway,Crystal,MN,55428,(763) 533-6238,45.0507,-93.3608,Burger King
5163,-94.0327,44.1795,5164,5164,b,1745 Commerce Drive,North Mankato,MN,56003,(507) 345-8872,44.1795,-94.0327,Burger King
5191,-94.1661,45.5888,5192,5192,b,15 South Benton Drive,Sauk Rapids,MN,56379,(320) 654-8283,45.5888,-94.1661,Burger King
5370,-93.2817,45.0132,5371,5371,b,3200 Washington Avenue North,Minneapolis,MN,55412,(612) 522-5433,45.0132,-93.2817,Burger King
5393,-93.2799,44.8836,5394,5394,b,96 West 66 Street,Richfield,MN,55423,(952) 866-5292,44.8836,-93.2799,Burger King
5456,-92.2828,44.4603,5457,5457,b,1535 North Lakeshore Drive,Lake City,MN,55041,(651) 345-2345,44.4603,-92.2828,Burger King
5529,-93.266,45.1666,5530,5530,b,10861 University Avenue N. E.,Blaine,MN,55434,(763) 755-6977,45.1666,-93.266,Burger King
5530,-94.8099,45.6698,5531,5531,b,318 East Kraft Drive,Melrose,MN,56352,(320) 256-4100,45.6698,-94.8099,Burger King
5543,-96.7468,46.8682,5544,5544,b,"Moorhead State University, 725 South 14th Street",Moorhead,MN,56560,(218) 236-2500,46.8682,-96.7468,Burger King
5569,-93.1102,44.9412,5570,5570,b,244 Grand Avenue,St. Paul,MN,55102,(651) 224-7173,44.9412,-93.1102,Burger King
5579,-93.0731,44.9586,5580,5580,b,695 East 7 Street,St. Paul,MN,55106,(651) 776-6055,44.9586,-93.0731,Burger King
5827,-94.3463,45.9757,5828,5828,b,1112 First Avenues N. E.,Little Falls,MN,56345,(320) 632-8216,45.9757,-94.3463,Burger King
5955,-94.133,44.7691,5956,5956,b,2200 10th Street East,Glencoe,MN,55336,(320) 864-5107,44.7691,-94.133,Burger King
5956,-95.1293,46.449,5957,5957,b,849 North Jefferson,Wadena,MN,56482,(218) 631-3351,46.449,-95.1293,Burger King
5962,-93.1355,44.7315,5963,5963,b,3460 150th Street West,Rosemount,MN,55068,(651) 423-6567,44.7315,-93.1355,Burger King
5985,-95.3664,45.8908,5986,5986,b,209 Nokomis Street,Alexandria,MN,56308,(320) 763-1675,45.8908,-95.3664,Burger King
6033,-93.1468,44.6403,6034,6034,b,120 Elm Street,Farmington,MN,55024,(651) 463-7172,44.6403,-93.1468,Burger King
6088,-92.9871,45.6844,6089,6089,b,1560 West 4th Street,Rush City,MN,55069,(320) 358-4314,45.6844,-92.9871,Burger King
6095,-92.9051,44.9469,6096,6096,b,9896 Norma Lane,Woodbury,MN,55125,(651) 714-7181,44.9469,-92.9051,Burger King
6115,-93.2274,45.0002,6116,6116,b,1500 Stinson Boulevard Ne,Minneapolis,MN,55413,(612) 331-8582,45.0002,-93.2274,Burger King
6219,-93.1969,44.8867,6220,6220,b,"Minneapolis/St Paul Airport, Red Concourse/4300 Glumack Rd., Unit 64h.54",St. Paul,MN,55111,(),44.8867,-93.1969,Burger King
6246,-95.1127,44.5413,6247,6247,b,516 East Bridge Street,Redwood Falls,MN,56283,(507) 637-3169,44.5413,-95.1127,Burger King
6247,-92.9377,44.8298,6248,6248,b,8481 S. E. Point Douglas Road,Cottage Grove,MN,55016,(651) 769-1697,44.8298,-92.9377,Burger King
6318,-92.9966,45.5091,6319,6319,b,38711 Tanger Drive,North Branch,MN,55056,(651) 674-8727,45.5091,-92.9966,Burger King
6368,-92.1297,46.7602,6369,6369,b,210 South 27 Avenue,Duluth,MN,55806,(218) 529-2350,46.7602,-92.1297,Burger King
6377,-95.6037,43.631,6378,6378,b,1322 Oxford Street,Worthington,MN,56187,(507) 372-7773,43.631,-95.6037,Burger King
6379,-94.7978,46.3557,6380,6380,b,201 2nd N.E.,Staples,MN,56479,(218) 894-3202,46.3557,-94.7978,Burger King
6396,-95.6009,45.3158,6397,6397,b,"206 14th Street N,",Benson,MN,56215,(320) 843-2505,45.3158,-95.6009,Burger King
6403,-93.1969,44.8867,6404,6404,b,"Minneapolis-St Paul Airport, Main Concourse, 4300 Glumack Road, Unit 64h.03",St. Paul,MN,55111,(612) 726-5217,44.8867,-93.1969,Burger King
6407,-93.5532,45.1995,6408,6408,b,21421 South Diamond Lake Road,Rogers,MN,55374,(763) 428-4886,45.1995,-93.5532,Burger King
6508,-92.8458,45.034,6509,6509,b,5907 Neal Avenue North,Oak Park Heights,MN,55082,(651) 430-3859,45.034,-92.8458,Burger King
6509,-96.1167,46.2883,6510,6510,b,528 Western Avenue,Fergus Falls,MN,56537,(218) 739-2203,46.2883,-96.1167,Burger King
6516,-96.0632,46.2785,6517,6517,b,705 Vernon Avenue East,Fergus Falls,MN,56537,(218) 739-9330,46.2785,-96.0632,Burger King
6521,-93.4847,44.9146,6522,6522,b,17555 State Highway 7,Minnetonka,MN,55345,(952) 906-9033,44.9146,-93.4847,Burger King
6549,-93.2252,44.9737,6550,6550,b,925 Washington Avenue. Se,Minneapolis,MN,55414,(612) 379-7708,44.9737,-93.2252,Burger King
6572,-93.1969,44.8867,6573,6573,b,"Minneapolis-St. Paul Airport, Blue Concourse, Unit 64h.55",Minneapolis,MN,55111,(),44.8867,-93.1969,Burger King
6589,-94.5277,45.1265,6590,6590,b,21 Depot Street,Litchfield,MN,55355,(320) 693-0369,45.1265,-94.5277,Burger King
6621,-94.8656,45.9717,6622,6622,b,205 Lake Street,Long Prairie,MN,56347,(320) 732-1979,45.9717,-94.8656,Burger King
6682,-93.4499,45.2271,6683,6683,b,7205 Highway 10 North,Ramsey,MN,55303,(763) 433-0546,45.2271,-93.4499,Burger King
6739,-93.1799,44.4601,6740,6740,b,1301bollenbacker Drive,Northfield,MN,55057,(507) 645-9286,44.4601,-93.1799,Burger King
6792,-94.1531,45.5524,6793,6793,b,720 4th Avenue South,St. Cloud,MN,56301,(320) 255-2139,45.5524,-94.1531,Burger King
6903,-93.2641,45.0717,6904,6904,b,289 57th Avenue N.E.,Fridley,MN,55432,(763) 502-6987,45.0717,-93.2641,Burger King
6981,-94.907,47.4939,6982,6982,b,2575 Hannah Avenue N.W.,Bemidji,MN,56601,(),47.4939,-94.907,Burger King
7028,-97.02,47.9276,7029,7029,b,926 Central Avenue Ne,East Grand Forks,MN,56721,(218) 773-4121,47.9276,-97.02,Burger King
7066,-94.0561,45.4133,7067,7067,b,945 Ash Street,Clearwater,MN,55320,(320) 558-9227,45.4133,-94.0561,Burger King
7076,-93.322,45.0597,7077,7077,b,3201 County Road 10,Brooklyn Center,MN,55429,(763) 561-4790,45.0597,-93.322,Burger King
7121,-93.2899,44.9993,7122,7122,b,818 West Broadway,Minneapolis,MN,55411,(612) 588-7909,44.9993,-93.2899,Burger King
7182,-93.0197,45.0149,7183,7183,b,2440 White Bear Avenue,Maplewood,MN,55109,(651) 779-6621,45.0149,-93.0197,Burger King
7243,-93.6635,45.2436,7244,7244,b,6495 Labeux Avenue N.E.,Albertville,MN,55301,(763) 497-4992,45.2436,-93.6635,Burger King
7260,-95.0219,45.1241,7261,7261,b,1611 East Highway 12,Willmar,MN,56201,(320) 235-6812,45.1241,-95.0219,Burger King
7265,-94.9927,43.6277,7266,7266,b,2000 North Highway 71,Jackson,MN,56143,(507) 847-4647,43.6277,-94.9927,Burger King
7272,-94.4426,44.2936,7273,7273,b,1922 South Broadwy,New Ulm,MN,56073,(507) 354-1268,44.2936,-94.4426,Burger King
7356,-92.4625,43.9838,7357,7357,b,2630 S Broadway Ave,Rochester,MN,55904,(507) 536-9294,43.9838,-92.4625,Burger King
24135,-93.1633,45.1406,24136,24136,m,1 Central St,Circle Pines,MN,55014-1761,,45.1406,-93.1633,McDonald's
24187,-93.2137,45.5715,24188,24188,m,100 Garfield St S,Cambridge,MN,55008,,45.5715,-93.2137,McDonald's
24212,-93.7977,45.2948,24213,24213,m,100 Oakwood Dr,Monticello,MN,55362,,45.2948,-93.7977,McDonald's
24229,-93.5617,44.5435,24230,24230,m,100 Tenth Ave. Se Suite 2,New Prague,MN,56071,,44.5435,-93.5617,McDonald's
24237,-93.2056,45.5712,24238,24238,m,100 Walmart Ln (Walmart #2352),Cambridge,MN,55008,,45.5712,-93.2056,McDonald's
24292,-96.2129,43.6413,24293,24293,m,1001 S Kniss,Luverne,MN,56156,,43.6413,-96.2129,McDonald's
24359,-92.9863,43.6665,24360,24360,m,1009 W Oakland Ave,Austin,MN,55912-2217,,43.6665,-92.9863,McDonald's
24419,-95.0586,46.9221,24420,24420,m,101 S Park Avenue,Park Rapids,MN,56470,,46.9221,-95.0586,McDonald's
24423,-92.822,47.842,24424,24424,m,101 South Hwy 53 & Pine St,Cook,MN,55723,,47.842,-92.822,McDonald's
24541,-94.5318,45.1117,24542,24542,m,1021 East Hwy,Litchfield,MN,55355,,45.1117,-94.5318,McDonald's
24574,-93.2337,45.157,24575,24575,m,10270 Baltimore Street Ne Suite 100,Blaine,MN,55449,,45.157,-93.2337,McDonald's
24650,-94.3375,45.9701,24651,24651,m,104 Lemieur St,Little Falls,MN,56345,,45.9701,-94.3375,McDonald's
24853,-93.1448,44.8048,24854,24854,m,1075 Diffley Rd,Eagan,MN,55123,,44.8048,-93.1448,McDonald's
24891,-93.0569,45.0795,24892,24892,m,1081 Hwy 96,White Bear Lake,MN,55127,,45.0795,-93.0569,McDonald's
24942,-94.3758,44.875,24943,24943,m,1098 Hwy 15 S,Hutchinson,MN,55350-3154,,44.875,-94.3758,McDonald's
24963,-92.1296,46.8003,24964,24964,m,110 E Central Entrance,Duluth,MN,55811-5510,,46.8003,-92.1296,McDonald's
25009,-93.2634,44.9989,25010,25010,m,1100 University Ave Ne,Minneapolis,MN,55413-1222,,44.9989,-93.2634,McDonald's
25034,-93.1704,44.4492,25035,25035,m,1101 S Hwy 3,Northfield,MN,55057-3086,,44.4492,-93.1704,McDonald's
25082,-93.2454,44.0962,25083,25083,m,1105 W Frontage Rd,Owatonna,MN,55060,,44.0962,-93.2454,McDonald's
25188,-92.4986,44.0556,25189,25189,m,1116 Broadway Nw,Rochester,MN,55901,,44.0556,-92.4986,McDonald's
25237,-95.9032,45.5743,25238,25238,m,1124 Atlantic Ave Po Box 469,Morris,MN,56267,,45.5743,-95.9032,McDonald's
25286,-91.6815,47.0255,25287,25287,m,1130 7th Ave,Two Harbors,MN,55616,,47.0255,-91.6815,McDonald's
25318,-93.2768,45.1757,25319,25319,m,11364 Foley Blvd Nw,Coon Rapids,MN,55448-3348,,45.1757,-93.2768,McDonald's
25430,-93.2189,45.0673,25431,25431,m,1168 Silver Lake Rd,New Brighton,MN,55112-6325,,45.0673,-93.2189,McDonald's
25557,-94.1942,45.5942,25558,25558,m,120 Twin Rivers Ct,Sartell,MN,56377,,45.5942,-94.1942,McDonald's
25561,-93.949,44.3397,25562,25562,m,120 West St. Julien Street,St. Peter,MN,56082,,44.3397,-93.949,McDonald's
25564,-95.7727,44.4503,25565,25565,m,1200 E College Dr,Marshall,MN,56258-2010,,44.4503,-95.7727,McDonald's
25609,-94.0958,43.6522,25610,25610,m,1202 Buccaneer Dr,Blue Earth,MN,56013,,43.6522,-94.0958,McDonald's
25681,-94.9499,45.7231,25682,25682,m,1210 Timberlane Drive,Sauk Centre,MN,56378,,45.7231,-94.9499,McDonald's
25689,-97.0196,47.9374,25690,25690,m,1212 Central Ave Ne,East Grand Forks,MN,56721-1603,,47.9374,-97.0196,McDonald's
25759,-93.5289,47.2195,25760,25760,m,1221 Pokegama Ave S,Grand Rapids,MN,55744-5044,,47.2195,-93.5289,McDonald's
25802,-93.3929,45.1773,25803,25803,m,12321 Champlin Dr,Champlin,MN,55316-1906,,45.1773,-93.3929,McDonald's
25836,-93.2362,45.1951,25837,25837,m,12401 Ulysses St Ne,Blaine,MN,55434-3940,,45.1951,-93.2362,McDonald's
25847,-92.9999,45.2793,25848,25848,m,1244 W Broadway Po Box 87,Forest Lake,MN,55025-1417,,45.2793,-92.9999,McDonald's
25853,-94.8968,47.4921,25854,25854,m,1245 Paul Bunyan Dr Nw,Bemidji,MN,56601-4123,,47.4921,-94.8968,McDonald's
25958,-95.0967,44.5415,25959,25959,m,1271 E Bridge St,Redwood Falls,MN,56283-1901,,44.5415,-95.0967,McDonald's
25962,-93.0808,44.9078,25963,25963,m,1273 S Robert St,West St. Paul,MN,55118,,44.9078,-93.0808,McDonald's
26011,-93.8637,45.3887,26012,26012,m,12945 Rolling Ridge Road,Becker,MN,55308,,45.3887,-93.8637,McDonald's
26091,-93.3593,45.2072,26092,26092,m,13020 Riverdale Dr (Walmart #1562),Coon Rapids,MN,55448,,45.2072,-93.3593,McDonald's
26117,-92.4754,44.0049,26118,26118,m,"1306 Apache Drive, S.W.",Rochester,MN,55902,,44.0049,-92.4754,McDonald's
26122,-92.4567,46.7016,26123,26123,m,1308 S Highway 33 (Walmart #1929),Cloquet,MN,55720,,46.7016,-92.4567,McDonald's
26153,-93.1936,45.0734,26154,26154,m,1313 W Cord E,Arden Hills,MN,55112,,45.0734,-93.1936,McDonald's
26161,-93.87,45.1986,26162,26162,m,1315 Hwy 25 North (Walmart #1577),Buffalo,MN,55313,,45.1986,-93.87,McDonald's
26252,-92.8774,44.7374,26253,26253,m,1340 S Frontage Rd,Hastings,MN,55033-2426,,44.7374,-92.8774,McDonald's
26278,-92.5516,47.5128,26279,26279,m,1350 S 12th Avenue,Virginia,MN,55792-3232,,47.5128,-92.5516,McDonald's
26287,-93.1647,44.8304,26288,26288,m,1351 Town Centre Dr,Eagan,MN,55123,,44.8304,-93.1647,McDonald's
26297,-93.4526,45.1058,26298,26298,m,13595 83rd Way,Maple Grove,MN,55369-4644,,45.1058,-93.4526,McDonald's
26326,-93.3571,45.2202,26327,26327,m,13731 Round Lake Blvd,Andover,MN,55304,,45.2202,-93.3571,McDonald's
26367,-93.0423,44.9774,26368,26368,m,1388 Maryland Avenue,St. Paul,MN,55106,,44.9774,-93.0423,McDonald's
26450,-92.9932,43.679,26451,26451,m,1402 14th St Nw,Austin,MN,55912,,43.679,-92.9932,McDonald's
26499,-93.9717,44.1669,26500,26500,m,1411 Madison Ave,Mankato,MN,56001-5441,,44.1669,-93.9717,McDonald's
26534,-92.9261,47.3995,26535,26535,m,1419 East 41st Street,Hibbing,MN,55746-3667,,47.3995,-92.9261,McDonald's
26552,-93.2813,44.7464,26553,26553,m,14200 Grand Ave S,Burnsville,MN,55337-5704,,44.7464,-93.2813,McDonald's
26632,-93.2274,45.0,26633,26633,m,1440 Stinson Blvd,Minneapolis,MN,55413-1723,,45.0,-93.2274,McDonald's
26657,-92.9742,45.8462,26658,26658,m,1450 8th St Nw,Pine City,MN,55063-1137,,45.8462,-92.9742,McDonald's
